date,open,close,high,low,volume
03-Nov-95,994.2,1000,1000.91,992.69,3448.2
06-Nov-95,1001.53,988.92,1001.53,988.92,2677.1
07-Nov-95,987.17,978.22,987.17,977.05,2935.4
08-Nov-95,976.28,964.01,976.28,962.98,1951.5
09-Nov-95,960.32,953.07,960.32,952.13,2070.7
10-Nov-95,951.93,948.82,951.93,946,1768
13-Nov-95,949.29,917.26,949.29,916.48,2178.3
14-Nov-95,916.66,902.56,916.66,897.52,2871.4
15-Nov-95,901.33,913.21,913.54,901.33,2173.9
16-Nov-95,915.96,904.08,915.96,900.83,2515.2
17-Nov-95,898.72,898.86,900.41,885.31,2777.5
20-Nov-95,896.27,892.79,898.86,892.05,1706.3
21-Nov-95,891.96,876.59,891.96,876,2632.8
22-Nov-95,878,864.42,878,856.92,2328.3
23-Nov-95,856.2,849.5,856.2,842.33,1961
24-Nov-95,849.6,871.11,874.97,849.6,2047.1
27-Nov-95,871.94,861.25,878.58,858.93,1982.8
28-Nov-95,854.5,843.68,854.5,841.44,2755.2
29-Nov-95,845.36,845.12,845.36,822.54,3159.1
30-Nov-95,840.87,862.1,863.98,838.36,4366.3
01-Dec-95,867.99,873.05,877.41,866.37,5687.4
04-Dec-95,870.29,863.7,873.05,861.97,4424.6
05-Dec-95,860.02,866.52,867.59,854.47,5236.7
06-Dec-95,870.39,878.93,878.93,868.12,4241.4
07-Dec-95,881.97,898.62,901.25,881.97,3720
08-Dec-95,900.28,887.12,908.12,886.54,4013
11-Dec-95,882.58,877.41,882.58,874.37,3991.2
12-Dec-95,878.99,879.49,880.08,875.43,3399.5
13-Dec-95,881.3,889.26,889.26,881.3,3114.8
14-Dec-95,890.81,884.34,891.98,884.31,3585.7
15-Dec-95,876.95,883.41,883.85,875.5,2887.4
18-Dec-95,883.29,882.63,883.58,881.17,2193.3
19-Dec-95,882.35,883.72,884.19,879.54,2717.2
20-Dec-95,883.68,885.53,887.19,883.68,2117.6
21-Dec-95,888.25,900.5,900.5,887.73,3454
22-Dec-95,900.86,900.65,906.63,899.38,4270.1
26-Dec-95,899.87,905.33,906.47,898.41,3344.7
27-Dec-95,908.81,922.5,923.09,908.81,3430.1
28-Dec-95,923.67,914.55,927.6,913.76,4132.7
29-Dec-95,912.72,908.53,912.72,906.32,3515.3
01-Jan-96,913.11,908.01,913.11,906.15,2033
02-Jan-96,906.78,900.38,906.78,899.52,3219
03-Jan-96,901.66,895.96,904.48,895.48,3641.8
04-Jan-96,891.37,889.67,891.37,884.1,4195.5
05-Jan-96,887.79,884.73,887.79,881.74,3456.6
08-Jan-96,883.64,869.7,883.64,868.44,3331.9
09-Jan-96,864.84,869.12,870.71,856.77,5187.8
10-Jan-96,863.86,863.8,869.01,863.8,3889.8
11-Jan-96,862.62,873.27,873.72,861.97,4705.9
12-Jan-96,875.11,875.15,877.6,872.1,5195
15-Jan-96,878.74,871.32,878.74,870.98,3188.8
16-Jan-96,871.29,868.52,871.29,866.64,4041
17-Jan-96,866,857.11,866,857.11,3935.7
18-Jan-96,853.28,848.83,853.28,841.79,4529.9
19-Jan-96,846.66,843.99,847.17,840.18,3771.2
22-Jan-96,844.83,844.31,847.12,844.04,4218.2
23-Jan-96,846.05,832.9,846.05,830.83,5457.4
24-Jan-96,831.17,818.69,831.17,816,3997.1
25-Jan-96,819.56,814.92,819.56,814.34,4163.7
29-Jan-96,813.12,830.88,832.23,813.12,6097.6
30-Jan-96,836.14,846.57,848.13,836.14,9496.2
31-Jan-96,843.19,848.42,852.75,843.19,6625.9
01-Feb-96,848.28,869.54,869.54,848.28,7015.9
02-Feb-96,878.5,918.31,919.82,878.5,9673.7
05-Feb-96,933.14,943.08,949.16,927.65,15071.4
06-Feb-96,943.75,925.71,947.89,919.99,14627.7
07-Feb-96,918.97,932.02,932.02,913.22,9584.4
08-Feb-96,936.72,980.27,983.25,936.72,10056.5
09-Feb-96,1001.85,1033.02,1033.02,980.27,12881.9
12-Feb-96,1032.47,1018.51,1045.81,1018.51,12173.6
13-Feb-96,1019.69,1027.36,1030.3,1006.28,12190.1
14-Feb-96,1040.91,1051.99,1067.49,1040.91,8961.5
15-Feb-96,1048.14,1046.24,1053.19,1042.36,8621
16-Feb-96,1040.84,1023.08,1040.84,1020.46,6752.4
19-Feb-96,1027.2,1021.38,1028.26,1019.93,6250.2
20-Feb-96,1021.08,1000.13,1021.08,999.93,7545.5
22-Feb-96,1006.84,1024.91,1025.44,1006.84,6927.7
23-Feb-96,1025.36,1028.84,1029.64,1019.45,6754.3
26-Feb-96,1035.02,1034.73,1045.15,1034.52,7993.7
27-Feb-96,1034.28,1027.45,1034.28,1024.65,7198.9
28-Feb-96,1034.49,1027.39,1037.53,1027.39,5738.5
29-Feb-96,1024.14,992.51,1024.14,992.48,8882.9
01-Mar-96,994.66,999.47,1002.19,989.78,8115.4
04-Mar-96,1000.58,998.84,1002.41,996.51,7495.6
06-Mar-96,999.67,1002.91,1003.72,997.86,5600.7
